TaskID,HB_Branch,Complaint,ComplaintDate,Responsible,CurrentStatus,Remarks
6395,AnnaNagar,AC Sound Issue,01/02/22,SriniVasan,In Progress,In Progress
6123,Egmore,Deep Freezer Not working,29/01/22,Anand,Completed,"Condenser Coil Dirty , Fixed it "
5943,AnnaNagar,AC Not Working (Flow),29/01/22,SriniVasan,Completed,Water Drain Issue and Cleaned the Filters
5941,Mogappair,AC AMC,28/01/22,Kumar,Completed,Completed the AMS as per the standards.
5940,Adyar,AC AMC,21/01/22,Kumar,Completed,Completed the AMS as per the standards.
5843,Tambaram,Refrigerator Issue,16/01/22,SriniVasan,Completed,Evaporator Fan Motor not working fixed it.
5822,AnnaNagar,Refrigerator Issue,12/01/22,Rajesh,Completed,Replaced DeFrost Timer 
5812,Madipakkam,8 Ton Duct AC,12/01/22,Kumar,Completed,Cleaned the filter and it works
5810,Adambakkam,Hot Display,09/12/21,Kumar,Completed,Fixed the Electric Parts
5799,Tambaram,AC AMC,01/12/21,Anand,Completed,Completed the AMS as per the standards.